Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,关键词分类
chatgpt注册,10,10,880,34,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,19,7.11,0.0,0.0,15300000,"[2,2,0,2,0,3,1,1,1,23,19,29]",2025-08-09,"Image pack, Video, Related searches",transactional,Organic,1.注册相关
中国 注册 chatgpt,3,3,70,16,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,5,1.87,0.0,0.0,10300000,"[11,52,11,11,41,100,0,100,52,41,11,0]",2025-07-20,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,1.注册相关
中国 如何 注册 chatgpt,3,3,50,25,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,4,1.49,0.0,0.0,8310000,"[14,100,64,78,50,28,14,14,50,14,14,14]",2025-07-25,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,1.注册相关
注册chatgpt,5,5,50,14,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,2,0.74,0.0,0.0,11500000,"[5,4,3,3,3,4,4,2,1,1,0,0]",2025-07-15,"Reviews, Video, Related searches",navigational,Organic,1.注册相关
chatgpt 注册,8,8,110,21,0.51,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,2,0.74,1.0,0.08,15700000,"[1,0,2,2,2,0,1,0,0,0,0,0]",2025-08-08,"Image pack, Video, Related searches",transactional,Organic,1.注册相关
chatgpt 注册 不 需要 手机 号 了,7,7,40,8,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,1,0.37,0.0,0.0,90,"[100,14,14,64,64,14,14,14,28,50,14,0]",2025-07-23,"Image pack, Sitelinks, Video, Featured snippet, Related searches",informational,Organic,1.注册相关
如何注册chatgpt,6,6,40,4,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,1,0.37,0.0,0.0,14000000,"[3,2,2,2,2,2,2,2,1,1,0,1]",2025-08-07,"Video, Related searches","informational, transactional",Organic,1.注册相关
chatgpt 注册 不了,10,10,50,0,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,1,0.37,0.0,0.0,92,"[14,14,14,14,100,14,100,14,100,14,14,14]",2025-07-24,"Image pack, Video, Related searches",commercial,Organic,1.注册相关
chatgpt 怎么 注册,6,6,50,3,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,1,0.37,0.0,0.0,14000000,"[11,11,64,11,11,100,11,11,64,52,11,11]",2025-07-23,"Sitelinks, Video, Ads bottom, Related searches","informational, transactional",Organic,1.注册相关
怎么 注册 chatgpt,8,8,40,8,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0,0.0,0.0,0.1,178000000,"[11,11,23,11,11,64,100,11,11,23,11,11]",2025-07-29,"Image pack, Sitelinks, Video, Related searches","informational, transactional",Organic,1.注册相关
如何 开通 chatgpt plus,30,30,50,17,0.0,https://chatgptboke.com/what-is-chatgpt-plus.html,0,0.0,0.0,0.0,990000,"[11,11,64,100,11,41,11,11,11,23,11,11]",2025-07-25,"Image pack, Sitelinks, Video, Related searches","informational, transactional",Organic,1.注册相关
代 注册,17,17,50,0,0.0,https://chatgptboke.com/account.html,0,0.0,0.0,0.0,229000000,"[50,28,14,14,100,100,14,28,14,14,14,0]",2025-07-25,"Image pack, Video, Related searches","commercial, informational",Organic,1.注册相关
chatgpt 注册 不了,18,18,50,0,0.0,https://chatgptboke.com/the-update-registration-difficulty-for-chatgpt-20230421.html,0,0.0,0.0,0.0,92,"[14,14,14,14,100,14,100,14,100,14,14,14]",2025-07-24,"Image pack, Video, Related searches",commercial,Organic,1.注册相关
chatgpt 注册 不了,63,63,50,0,0.0,https://chatgptboke.com/failed-to-load-required-information-when-registering-account.html,0,0.0,0.0,0.0,92,"[14,14,14,14,100,14,100,14,100,14,14,14]",2025-07-24,"Image pack, Video, Related searches",commercial,Image pack,1.注册相关
chatgpt的登录验证,5,5,170,13,0.0,https://chatgptboke.com/verifying-you-are-human-this-may-take-a-few-seconds.html,7,2.62,0.0,0.0,5200000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-15,"Video, Related searches",informational,Organic,2.登录使用
ios chatgpt 无法 登录,2,2,40,0,0.0,https://chatgptboke.com/chatgpt-ios-app-something-went-wrong-please-make-sure-your-devices-date-and-time-are-set-properly.html,5,1.87,0.0,0.0,81,"[18,18,100,18,18,18,18,81,81,18,18,18]",2025-07-30,"Video, Related searches",informational,Organic,2.登录使用
chatgpt的登录验证,9,9,170,13,0.0,https://chatgptboke.com/secure-your-account-issue.html,4,1.49,0.0,0.0,5200000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-15,"Video, Related searches",informational,Organic,2.登录使用
chatgpt 登录不了,10,10,50,11,0.0,https://chatgptboke.com/tag/chatgpt%E7%99%BB%E5%BD%95%E4%B8%8D%E4%B8%8A,1,0.37,0.0,0.0,85,"[64,35,35,64,50,35,78,35,21,21,0,0]",2025-07-29,"Video, Related searches","commercial, informational",Organic,2.登录使用
chatgpt 哪些 国家 不能 用,16,16,40,17,0.0,https://chatgptboke.com/supported-countries.html,0,0.0,0.0,0.0,6670000,"[11,11,100,11,0,0,100,11,0,11,11,0]",2025-07-27,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic,2.登录使用
chatgpt 登录 不 进,10,10,40,9,0.0,https://chatgptboke.com/how-to-fix-chatgpt-works-fine-when-not-logged-in-but-not-after-login.html,0,0.0,0.0,0.0,8600000,"[11,11,23,11,11,23,11,11,11,100,11,11]",2025-07-27,"Video, Related searches",informational,Organic,2.登录使用
chatgpt 登录 不 进,24,24,40,9,0.0,https://chatgptboke.com/we-ran-into-an-issue-while-signing-you-in-please-take-a-break-and-try-again-soon.html,0,0.0,0.0,0.0,8600000,"[11,11,23,11,11,23,11,11,11,100,11,11]",2025-07-27,"Video, Related searches",informational,Organic,2.登录使用
chatgpt无法登录,33,33,140,22,0.0,https://chatgptboke.com/how-to-fix-chatgpt-works-fine-when-not-logged-in-but-not-after-login.html,0,0.0,0.0,0.0,100,"[53,28,35,100,53,35,43,12,35,12,12,17]",2025-07-29,"Image pack, Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic,2.登录使用
chatgpt无法登录,46,46,140,22,0.0,https://chatgptboke.com/the-reason-why-chatgpt-returns-to-the-homepage-after-entering-the-username-and-password.html,0,0.0,0.0,0.0,100,"[53,28,35,100,53,35,43,12,35,12,12,17]",2025-07-29,"Image pack, Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic,2.登录使用
chatgpt 免 登录,15,15,170,6,0.0,https://chatgptboke.com/using-chatgpt-instantly.html,0,0.0,0.0,0.0,2520000,"[2,2,2,100,44,81,2,5,2,2,2,2]",2025-08-10,"Video, Related searches","commercial, informational",Organic,2.登录使用
ios chatgpt 无法 登录,29,29,40,0,0.0,https://chatgptboke.com/chatgp-clent-sign-in-failed-an-ssl-error-has-occurred.html,0,0.0,0.0,0.0,81,"[18,18,100,18,18,18,18,81,81,18,18,18]",2025-07-30,"Video, Related searches",informational,Organic,2.登录使用
chatgpt 打不开,44,44,70,11,0.0,https://chatgptboke.com/sources-unable-to-load.html,0,0.0,0.0,0.0,95,"[0,0,11,0,28,15,11,15,11,23,3,1]",2025-07-15,"Image pack, Video, Related searches","commercial, informational",Organic,2.登录使用
chatgpt用不了,23,23,50,15,0.0,https://chatgptboke.com/how-to-fix-chatgpt-works-fine-when-not-logged-in-but-not-after-login.html,0,0.0,0.0,0.0,100,"[28,15,21,21,15,15,21,12,12,6,6,3]",2025-07-18,"Image pack, Reviews, Video, People also ask, Related searches","commercial, informational",Organic,2.登录使用
chatgpt用不了,42,42,50,15,0.0,https://chatgptboke.com/chatgpt-can-be-accessed-through-a-browser-but-not-through-a-client.html,0,0.0,0.0,0.0,100,"[28,15,21,21,15,15,21,12,12,6,6,3]",2025-07-18,"Image pack, Reviews, Video, People also ask, Related searches","commercial, informational",Organic,2.登录使用
中国 不能 用 chatgpt,98,98,40,28,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0,0.0,0.0,0.0,11400000,"[64,14,0,28,28,0,14,28,14,100,14,14]",2025-07-29,"Image pack, Sitelinks, Video, Featured snippet, Related searches",informational,Organic,2.登录使用
openai登陆不了,98,98,260,19,0.0,https://chatgptboke.com/chatgpt-oops-something-went-wrong-there-could-be-a-misconfiguration-in-the-system-or-a-service-outage.html,0,0.0,0.0,0.0,606000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-18,"Image pack, Video, Related searches",informational,Image pack,2.登录使用
chatgpt登录的继续按钮点不了,18,18,170,11,0.0,https://chatgptboke.com/how-to-fix-chatgpt-messages-not-sending.html,0,0.0,0.0,0.0,46,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-26,"Video, Related searches",informational,Organic,2.登录使用
chatgpt登录的继续按钮点不了,27,27,170,11,0.0,https://chatgptboke.com/tag/chatgpt%E7%94%A8%E4%B8%8D%E4%BA%86,0,0.0,0.0,0.0,46,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-26,"Video, Related searches",informational,Organic,2.登录使用
chatgpt登录不了,12,12,70,14,0.0,https://chatgptboke.com/how-to-fix-chatgpt-works-fine-when-not-logged-in-but-not-after-login.html,0,0.0,0.0,0.0,82,"[43,0,12,53,53,6,100,0,6,15,12,6]",2025-07-27,"Video, Related searches","commercial, informational",Organic,2.登录使用
chatgpt登录不了,22,22,70,14,0.0,https://chatgptboke.com/tag/chatgpt%E7%99%BB%E5%BD%95%E4%B8%8D%E4%B8%8A,0,0.0,0.0,0.0,82,"[43,0,12,53,53,6,100,0,6,15,12,6]",2025-07-27,"Video, Related searches","commercial, informational",Organic,2.登录使用
chatgpt免登录,13,13,40,6,0.0,https://chatgptboke.com/using-chatgpt-instantly.html,0,0.0,0.0,0.0,2970000,"[4,4,4,4,22,35,22,4,4,0,0,0]",2025-08-07,"Video, Related searches","commercial, informational",Organic,2.登录使用
chatgpt 访问 不了 了,36,36,40,0,0.0,https://chatgptboke.com/tag/chatgpt%E8%AE%BF%E9%97%AE%E4%B8%8D%E4%BA%86,0,0.0,0.0,0.0,990000,"[100,11,11,11,11,41,23,11,11,11,11,11]",2025-07-27,"Image pack, Video, Related searches","commercial, informational",Organic,2.登录使用
chatgpt 访问 不了 了,93,93,40,0,0.0,https://chatgptboke.com/chatgp-clent-sign-in-failed-an-ssl-error-has-occurred.html,0,0.0,0.0,0.0,990000,"[100,11,11,11,11,41,23,11,11,11,11,11]",2025-07-27,"Image pack, Video, Related searches","commercial, informational",Organic,2.登录使用
