Keyword,关键词分类,流量等级,Traffic,Search Volume,Position,Keyword Difficulty,CPC,URL,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Previous position
chatgpt注册,1.注册相关,🔥高流量,72,880,3,34,0.0,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,20.45,0.0,0.0,15300000,"[2,2,0,2,0,3,1,1,1,23,19,29]",2025-08-09,"Image pack, Video, Related searches",transactional,Organic,3
chatgpt注册,1.注册相关,🔥高流量,19,880,10,34,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,7.11,0.0,0.0,15300000,"[2,2,0,2,0,3,1,1,1,23,19,29]",2025-08-09,"Image pack, Video, Related searches",transactional,Organic,10
chatgpt 注册,1.注册相关,⭐中流量,7,110,4,21,0.51,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,1.98,3.0,0.08,15700000,"[1,0,2,2,2,0,1,0,0,0,0,0]",2025-08-08,"Image pack, Video, Related searches",transactional,Organic,4
注册chatgpt,1.注册相关,⭐中流量,6,50,2,14,0.0,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,1.7,0.0,0.0,11500000,"[5,4,3,3,3,4,4,2,1,1,0,0]",2025-07-15,"Reviews, Video, Related searches",navigational,Organic,2
chatgpt 怎么 注册,1.注册相关,⭐中流量,6,50,2,3,0.0,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,1.7,0.0,0.0,14000000,"[11,11,64,11,11,100,11,11,64,52,11,11]",2025-07-23,"Sitelinks, Video, Ads bottom, Related searches","informational, transactional",Organic,2
怎么 注册 chatgpt,1.注册相关,⭐中流量,5,40,2,8,0.0,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,1.42,0.0,0.1,178000000,"[11,11,23,11,11,64,100,11,11,23,11,11]",2025-07-29,"Image pack, Sitelinks, Video, Related searches","informational, transactional",Organic,2
如何注册chatgpt,1.注册相关,⭐中流量,5,40,2,4,0.0,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,1.42,0.0,0.0,14000000,"[3,2,2,2,2,2,2,2,1,1,0,1]",2025-08-07,"Video, Related searches","informational, transactional",Organic,2
中国 注册 chatgpt,1.注册相关,⭐中流量,5,70,3,16,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,1.87,0.0,0.0,10300000,"[11,52,11,11,41,100,0,100,52,41,11,0]",2025-07-20,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,3
中国 注册 chatgpt,1.注册相关,💡低流量,4,70,4,16,0.0,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,1.13,0.0,0.0,10300000,"[11,52,11,11,41,100,0,100,52,41,11,0]",2025-07-20,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,4
中国 如何 注册 chatgpt,1.注册相关,💡低流量,4,50,3,25,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,1.49,0.0,0.0,8310000,"[14,100,64,78,50,28,14,14,50,14,14,14]",2025-07-25,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,3
注册chatgpt,1.注册相关,💡低流量,2,50,5,14,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.74,0.0,0.0,11500000,"[5,4,3,3,3,4,4,2,1,1,0,0]",2025-07-15,"Reviews, Video, Related searches",navigational,Organic,5
chatgpt 注册,1.注册相关,💡低流量,2,110,8,21,0.51,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.74,1.0,0.08,15700000,"[1,0,2,2,2,0,1,0,0,0,0,0]",2025-08-08,"Image pack, Video, Related searches",transactional,Organic,8
中国 如何 注册 chatgpt,1.注册相关,💡低流量,1,50,6,25,0.0,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,0.28,0.0,0.0,8310000,"[14,100,64,78,50,28,14,14,50,14,14,14]",2025-07-25,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,6
如何 开通 chatgpt plus,1.注册相关,💡低流量,1,50,8,17,0.0,https://chatgptzh.github.io/chatgpt-plus/,0.28,0.0,0.0,990000,"[11,11,64,100,11,41,11,11,11,23,11,11]",2025-07-25,"Image pack, Sitelinks, Video, Related searches","informational, transactional",Organic,8
chatgpt 注册 不 需要 手机 号 了,1.注册相关,💡低流量,1,40,7,8,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.0,90,"[100,14,14,64,64,14,14,14,28,50,14,0]",2025-07-23,"Image pack, Sitelinks, Video, Featured snippet, Related searches",informational,Organic,7
如何注册chatgpt,1.注册相关,💡低流量,1,40,6,4,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.0,14000000,"[3,2,2,2,2,2,2,2,1,1,0,1]",2025-08-07,"Video, Related searches","informational, transactional",Organic,6
chatgpt 注册 不了,1.注册相关,💡低流量,1,50,10,0,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.0,92,"[14,14,14,14,100,14,100,14,100,14,14,14]",2025-07-24,"Image pack, Video, Related searches",commercial,Organic,10
chatgpt 怎么 注册,1.注册相关,💡低流量,1,50,6,3,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.0,14000000,"[11,11,64,11,11,100,11,11,64,52,11,11]",2025-07-23,"Sitelinks, Video, Ads bottom, Related searches","informational, transactional",Organic,6
chatgpt登录的继续按钮点不了,2.登录使用,🔥高流量,42,170,1,11,0.0,https://chatgptzh.github.io/continue-no-response/,11.93,0.0,0.0,46,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-26,"Video, Related searches",informational,Organic,1
chatgpt登录的继续按钮点不了,2.登录使用,🔥高流量,13,170,3,11,0.0,https://chatgptzh.github.io/cannot-continue-after-entering-username-and-password/,3.69,0.0,0.0,46,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-26,"Video, Related searches",informational,Organic,3
chatgpt的登录验证,2.登录使用,⭐中流量,7,170,5,13,0.0,https://chatgptboke.com/verifying-you-are-human-this-may-take-a-few-seconds.html,2.62,0.0,0.0,5200000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-15,"Video, Related searches",informational,Organic,5
ios chatgpt 无法 登录,2.登录使用,⭐中流量,5,40,2,0,0.0,https://chatgptboke.com/chatgpt-ios-app-something-went-wrong-please-make-sure-your-devices-date-and-time-are-set-properly.html,1.87,0.0,0.0,81,"[18,18,100,18,18,18,18,81,81,18,18,18]",2025-07-30,"Video, Related searches",informational,Organic,2
solidtorrent.to 网站打不开,2.登录使用,💡低流量,4,170,8,16,0.0,https://chatgptzh.github.io/unable-to-load-site/,1.13,0.0,0.0,34,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-27,,informational,Organic,8
chatgpt的登录验证,2.登录使用,💡低流量,4,170,9,13,0.0,https://chatgptboke.com/secure-your-account-issue.html,1.49,0.0,0.0,5200000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-15,"Video, Related searches",informational,Organic,9
chatgpt打不开,2.登录使用,💡低流量,2,320,14,14,0.0,https://chatgptzh.github.io/issues-when-using-chatpgt-in-china/,0.56,0.0,0.0,94,"[5,2,3,0,3,7,3,2,3,0,0,100]",2025-08-10,"Image pack, Video, Related searches","commercial, informational",Organic,14
chatgpt突然进不去,2.登录使用,💡低流量,2,590,17,20,0.0,https://chatgptzh.github.io/issues-when-using-chatpgt-in-china/,0.56,0.0,0.0,2270000,"[0,0,100]",2025-07-31,"Video, People also ask, Related searches",informational,Organic,17
chatgpt用不了,2.登录使用,💡低流量,1,50,6,15,0.0,https://chatgptzh.github.io/issues-when-using-chatpgt-in-china/,0.28,0.0,0.0,100,"[28,15,21,21,15,15,21,12,12,6,6,3]",2025-07-18,"Image pack, Reviews, Video, People also ask, Related searches","commercial, informational",Organic,6
用不了chatgpt,2.登录使用,💡低流量,1,40,7,11,0.0,https://chatgptzh.github.io/issues-when-using-chatpgt-in-china/,0.28,0.0,0.0,6120000,"[11,11,11,11,100,100,11,11,11,11,0,0]",2025-08-07,"Image pack, Video, Related searches","commercial, informational",Organic,7
https://solidtorrent.to 网站打不开,2.登录使用,💡低流量,1,170,13,17,0.0,https://chatgptzh.github.io/unable-to-load-site/,0.28,0.0,0.0,27,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-27,,informational,Organic,13
chatgpt 登录不了,2.登录使用,💡低流量,1,50,10,11,0.0,https://chatgptboke.com/tag/chatgpt%E7%99%BB%E5%BD%95%E4%B8%8D%E4%B8%8A,0.37,0.0,0.0,85,"[64,35,35,64,50,35,78,35,21,21,0,0]",2025-07-29,"Video, Related searches","commercial, informational",Organic,10
chatgpt下载到手机,3.下载安装,⭐中流量,9,210,5,40,0.42,https://chatgptzh.github.io/app/,2.55,3.0,0.04,9380000,"[29,29,35,54,66,100,66,54,35,43,43,35]",2025-08-11,"Video, Featured snippet, Related searches",transactional,Organic,5
怎么 下载 chatgpt app,3.下载安装,💡低流量,3,50,4,48,0.0,https://chatgptzh.github.io/app/,0.85,0.0,0.0,29600000,"[100,11,11,11,100,82,41,11,11,11,11,0]",2025-07-20,"Sitelinks, Reviews, Video, People also ask, Related searches",transactional,Organic,4
chatgpt apk安装包,3.下载安装,💡低流量,3,260,12,43,0.0,https://chatgptboke.com/android-app-launch-announcement.html,1.12,0.0,0.0,67,"[8,2,4,3,5,7,3,5,8,3,100,0]",2025-08-04,"Video, People also ask, Related searches","commercial, informational",Organic,12
chatgpt下载,3.下载安装,💡低流量,1,5400,49,59,0.0,https://chatgptzh.github.io/app/,0.28,0.0,0.0,36600000,"[8,24,19,24,44,54,100,44,24,0,0,29]",2025-08-17,"Video, Related searches","commercial, informational",Organic,65
chatgpt app 打 不 开,3.下载安装,💡低流量,1,50,9,10,0.0,https://chatgptzh.github.io/issues-when-using-chatpgt-in-china/,0.28,0.0,0.0,98,"[100,9,9,42,19,19,42,9,42,9,9,9]",2025-07-18,"Video, Related searches","commercial, informational",Organic,9
